"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
102,10,17,21,26,13,18,9,0,0,0,0,0,0,0,0,0,16,0,5,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,173
0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,0,18,9,0,87,30,38
12,0,0,4,0,0,4,0,35,4,6,0,0,9,0,0,0,5,0,73,63,38
0,0,0,0,0,0,0,0,0,0,87,37,7,45,32,0,0,0,0,0,0,0
10,0,0,0,0,0,0,3,0,13,0,2,1,1,93,0,0,0,0,0,0,0
0,0,0,0,11,0,6,22,0,0,0,11,0,0,28,0,0,27,0,62,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0
0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,128,18,35
41,27,43,0,25,11,16,4,9,4,13,0,0,0,2,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,8,12
4,0,4,0,0,4,0,0,5,0,0,98,0,2,2,25,8,13,0,10,5,0
0,0,93,0,0,0,43,0,0,6,0,0,0,0,0,0,27,16,0,0,23,0
0,4,0,4,0,5,1,2,0,0,0,16,0,0,48,10,50,7,0,11,0,4
0,1,3,12,1,38,4,54,16,0,2,6,5,0,2,0,0,4,0,4,9,28
2,1,0,0,0,9,0,1,0,7,0,0,149,0,13,2,2,3,7,0,0,4
0,0,0,0,0,0,0,0,69,10,0,0,128,6,4,0,0,3,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,151,18,0,0,1
17,9,4,7,6,6,1,1,0,59,85,0,7,0,0,4,2,0,0,0,0,0
53,19,0,0,32,53,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,23,22,9,36,31,30,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,37,0,1,3,30,7,19,16,12,59,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,0,6,0,139,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,219,0,0,0,0,0
6,15,9,10,14,31,4,7,0,6,23,7,2,10,1,0,10,7,12,1,8,2
